group,media_jp,media_en,url
a,47NEWS,yonnana,https://news.yahoo.co.jp/media/yonnana
b,ABCニュース,asahibc,https://news.yahoo.co.jp/media/asahibc
c,ABEMA TIMES,abema,https://news.yahoo.co.jp/media/abema
