num,group,media_jp,media_en,url
1,a,共同通信,kyodonews,https://news.yahoo.co.jp/media/kyodonews
2,a,読売新聞オンライン,yom,https://news.yahoo.co.jp/media/yom
3,a,TBS NEWS DIG Powered by JNN,jnn,https://news.yahoo.co.jp/media/jnn
4,a,スポニチアネックス,spnannex,https://news.yahoo.co.jp/media/spnannex
5,a,時事通信,jij,https://news.yahoo.co.jp/media/jij
6,a,朝日新聞,asahi,https://news.yahoo.co.jp/media/asahi
7,a,テレビ朝日系（ANN）,ann,https://news.yahoo.co.jp/media/ann
8,a,tenki.jp,tenki,https://news.yahoo.co.jp/media/tenki
9,a,毎日新聞,mai,https://news.yahoo.co.jp/media/mai
10,a,オリコン,oric,https://news.yahoo.co.jp/media/oric
11,a,スポーツ報知,sph,https://news.yahoo.co.jp/media/sph
12,a,日テレNEWS NNN,nnn,https://news.yahoo.co.jp/media/nnn
13,a,ウェザーマップ,wmap,https://news.yahoo.co.jp/media/wmap
14,a,産経新聞,san,https://news.yahoo.co.jp/media/san
15,a,デイリースポーツ,dal,https://news.yahoo.co.jp/media/dal
16,a,日刊スポーツ,nksports,https://news.yahoo.co.jp/media/nksports
17,a,ロイター,reut,https://news.yahoo.co.jp/media/reut
18,a,Full-Count,fullcount,https://news.yahoo.co.jp/media/fullcount
19,a,MBSニュース,mbsnews,https://news.yahoo.co.jp/media/mbsnews
20,a,FNNプライムオンライン（フジテレビ系）,fnn,https://news.yahoo.co.jp/media/fnn
21,a,ABEMA TIMES,abema,https://news.yahoo.co.jp/media/abema
22,a,FNNプライムオンライン,fnnprimev,https://news.yahoo.co.jp/media/fnnprimev
23,a,Yahoo!ニュース オリジナル 特集,ytokushup,https://news.yahoo.co.jp/media/ytokushup
24,a,ENCOUNT,encount,https://news.yahoo.co.jp/media/encount
25,a,文春オンライン,bunshun,https://news.yahoo.co.jp/media/bunshun
26,a,AKIBA PC Hotline!,impahw,https://news.yahoo.co.jp/media/impahw
27,a,ARTnews JAPAN,artnewsjp,https://news.yahoo.co.jp/media/artnewsjp
28,a,Car Watch,impcaw,https://news.yahoo.co.jp/media/impcaw
29,a,Finasee,finasee,https://news.yahoo.co.jp/media/finasee
30,a,Hanasone,hanasone,https://news.yahoo.co.jp/media/hanasone
31,a,HOBBY Watch,imphbw,https://news.yahoo.co.jp/media/imphbw
32,a,LASISA,lasisa,https://news.yahoo.co.jp/media/lasisa
33,a,Newsクランチ！,ncwani,https://news.yahoo.co.jp/media/ncwani
34,a,POPEYE Web,popeye,https://news.yahoo.co.jp/media/popeye
35,a,RUNNET／ランナーズ,runnetjp,https://news.yahoo.co.jp/media/runnetjp
36,a,TBS CROSS DIG with Bloomberg,digbloom,https://news.yahoo.co.jp/media/digbloom
37,a,The Hollywood Reporter Japan,thrjapan,https://news.yahoo.co.jp/media/thrjapan
38,a,TVガイドWeb,tvguidew,https://news.yahoo.co.jp/media/tvguidew
39,a,ｔｙｓテレビ山口,tysv,https://news.yahoo.co.jp/media/tysv
40,a,ufu.,ufu,https://news.yahoo.co.jp/media/ufu
41,a,Webikeプラス,wbikeplus,https://news.yahoo.co.jp/media/wbikeplus
42,a,朝日新聞Thinkキャンパス,atcampus,https://news.yahoo.co.jp/media/atcampus
43,a,映画チャンネル,eigach,https://news.yahoo.co.jp/media/eigach
44,a,介護ポストセブン,kpseven,https://news.yahoo.co.jp/media/kpseven
45,a,家電 Watch,impkdw,https://news.yahoo.co.jp/media/impkdw
46,a,クラウド Watch,impclw,https://news.yahoo.co.jp/media/impclw
47,a,賢者の選択サクセッション,k_success,https://news.yahoo.co.jp/media/k_success
48,a,こどもとIT,impkitw,https://news.yahoo.co.jp/media/impkitw
49,a,スマホライフPLUS,otonalife,https://news.yahoo.co.jp/media/otonalife
50,a,ダイヤモンド教育ラボ,deducate,https://news.yahoo.co.jp/media/deducate
51,a,テクノエッジ,technoed,https://news.yahoo.co.jp/media/technoed
52,a,電波タイムズ,dempat,https://news.yahoo.co.jp/media/dempat
53,a,日経BOOKプラス,bookplus,https://news.yahoo.co.jp/media/bookplus
54,a,バスケットボールニュース2for1,bballntfo,https://news.yahoo.co.jp/media/bballntfo
55,a,東愛知新聞,hiaichi,https://news.yahoo.co.jp/media/hiaichi
56,a,フジテレビドキュメンタリー,houdoukv,https://news.yahoo.co.jp/media/houdoukv
57,a,窓の杜,impwfw,https://news.yahoo.co.jp/media/impwfw
58,a,陸奥新報,mutsushim,https://news.yahoo.co.jp/media/mutsushim
59,b,HBCニュース北海道,hbcv,https://news.yahoo.co.jp/media/hbcv
60,b,Bloomberg,bloom_st,https://news.yahoo.co.jp/media/bloom_st
61,b,静岡放送（SBS）,sbsv,https://news.yahoo.co.jp/media/sbsv
62,b,中国新聞デジタル,chugoku,https://news.yahoo.co.jp/media/chugoku
63,b,読売テレビ,ytv,https://news.yahoo.co.jp/media/ytv
64,b,ITmedia NEWS,zdn_n,https://news.yahoo.co.jp/media/zdn_n
65,b,スポーツナビ,spnaviv,https://news.yahoo.co.jp/media/spnaviv
66,b,RKB毎日放送,rkbv,https://news.yahoo.co.jp/media/rkbv
67,b,ＡＦＰ＝時事,jij_afp,https://news.yahoo.co.jp/media/jij_afp
68,b,BSS山陰放送,bss,https://news.yahoo.co.jp/media/bss
69,b,NEWSポストセブン,pseven,https://news.yahoo.co.jp/media/pseven
70,b,くるまのニュース,kurumans,https://news.yahoo.co.jp/media/kurumans
71,b,東洋経済オンライン,toyo,https://news.yahoo.co.jp/media/toyo
72,b,弁護士ドットコムニュース,bengocom,https://news.yahoo.co.jp/media/bengocom
73,b,ITmedia ビジネスオンライン,zdn_mkt,https://news.yahoo.co.jp/media/zdn_mkt
74,b,ウェザーニュース,weather,https://news.yahoo.co.jp/media/weather
75,b,CBCテレビ,cbc,https://news.yahoo.co.jp/media/cbc
76,b,OBS大分放送,obsnews,https://news.yahoo.co.jp/media/obsnews
77,b,ナショナル ジオグラフィック日本版,nknatiogeo,https://news.yahoo.co.jp/media/nknatiogeo
78,b,ねとらぼ,it_nlab,https://news.yahoo.co.jp/media/it_nlab
79,b,女性自身,jisin,https://news.yahoo.co.jp/media/jisin
80,b,tennis365.net,tennisnet,https://news.yahoo.co.jp/media/tennisnet
81,b,オトナンサー,otonans,https://news.yahoo.co.jp/media/otonans
82,b,47NEWS,yonnana,https://news.yahoo.co.jp/media/yonnana
83,b,読売新聞（ヨミドクター）,yomidr,https://news.yahoo.co.jp/media/yomidr
84,b,関西テレビ,kantele,https://news.yahoo.co.jp/media/kantele
85,b,withnews by 朝日新聞,withnews,https://news.yahoo.co.jp/media/withnews
86,b,サンケイスポーツ,sanspo,https://news.yahoo.co.jp/media/sanspo
87,b,西スポWEB OTTO！,nishispo,https://news.yahoo.co.jp/media/nishispo
88,b,BBC News,bbc,https://news.yahoo.co.jp/media/bbc
89,b,ＫＲＹ山口放送,kry,https://news.yahoo.co.jp/media/kry
90,b,STVニュース北海道,stv,https://news.yahoo.co.jp/media/stv
91,b,SOCCER DIGEST Web,sdigestw,https://news.yahoo.co.jp/media/sdigestw
92,b,Yahoo!ニュース,yjnews,https://news.yahoo.co.jp/media/yjnews
93,b,J-CASTニュース,jct,https://news.yahoo.co.jp/media/jct
94,b,北海道新聞,doshin,https://news.yahoo.co.jp/media/doshin
95,b,MRO北陸放送,mrov,https://news.yahoo.co.jp/media/mrov
96,b,RSK山陽放送,rsk,https://news.yahoo.co.jp/media/rsk
97,b,河北新報,khks,https://news.yahoo.co.jp/media/khks
98,b,WBS和歌山放送ニュース,newswbs,https://news.yahoo.co.jp/media/newswbs
99,b,Yahoo!ニュース PR［PR］,yjnewspr,https://news.yahoo.co.jp/media/yjnewspr
100,b,＠Press［PR］,atpress,https://news.yahoo.co.jp/media/atpress
101,b,エルザ,eltha,https://news.yahoo.co.jp/media/eltha
102,b,会社四季報オンライン,shikihoz,https://news.yahoo.co.jp/media/shikihoz
103,b,釧路新聞電子版,kushironw,https://news.yahoo.co.jp/media/kushironw
104,b,競馬ラボ,keibalab,https://news.yahoo.co.jp/media/keibalab
105,b,月刊自家用車WEB,jikayosha,https://news.yahoo.co.jp/media/jikayosha
106,b,将棋世界,shoginss,https://news.yahoo.co.jp/media/shoginss
107,b,スマートモビリティJP,smamobijp,https://news.yahoo.co.jp/media/smamobijp
108,b,津山朝日新聞,tsuyamanp,https://news.yahoo.co.jp/media/tsuyamanp
109,b,デジカメ Watch,impdcw,https://news.yahoo.co.jp/media/impdcw
110,b,新潟日報,niigatan,https://news.yahoo.co.jp/media/niigatan
111,b,日本ネット経済新聞,netkeizai,https://news.yahoo.co.jp/media/netkeizai
112,b,バレーボールキング,vballk,https://news.yahoo.co.jp/media/vballk
113,b,ピンズバNEWS,pinzuba,https://news.yahoo.co.jp/media/pinzuba
114,b,双葉社 THE CHANGE,fchange,https://news.yahoo.co.jp/media/fchange
115,b,まるスポ,maruspo,https://news.yahoo.co.jp/media/maruspo
