ctgry,url
top-picks,https://news.yahoo.co.jp/topics/top-picks
domestic,https://news.yahoo.co.jp/topics/domestic
world,https://news.yahoo.co.jp/topics/world
business,https://news.yahoo.co.jp/topics/business
entertainment,https://news.yahoo.co.jp/topics/entertainment
sports,https://news.yahoo.co.jp/topics/sports
it,https://news.yahoo.co.jp/topics/it
science,https://news.yahoo.co.jp/topics/science
local,https://news.yahoo.co.jp/topics/local
