status,media_en,old_group,new_group,old_media_jp,new_media_jp,url
renamed,asahi,a,a,朝日新聞デジタル,朝日新聞,https://news.yahoo.co.jp/media/asahi
renamed,nnn,a,a,日テレNEWS,日テレNEWS NNN,https://news.yahoo.co.jp/media/nnn
renamed,withnews,b,b,withnews,withnews by 朝日新聞,https://news.yahoo.co.jp/media/withnews
renamed,soon,c,c,下野新聞SOON,下野新聞デジタル,https://news.yahoo.co.jp/media/soon
renamed,tuf,c,c,テレビユー福島,TUFテレビユー福島,https://news.yahoo.co.jp/media/tuf
renamed,nishinp,c,c,西日本新聞,西日本新聞me,https://news.yahoo.co.jp/media/nishinp
renamed,koukousei,c,c,高校生新聞オンライン,高校生新聞,https://news.yahoo.co.jp/media/koukousei
renamed,sasahi,c,c,AERA dot.,AERA DIGITAL,https://news.yahoo.co.jp/media/sasahi
renamed,nsttv,c,c,ＮＳＴ新潟総合テレビ,新潟ニュースNST,https://news.yahoo.co.jp/media/nsttv
renamed,gifuweb,c,c,岐阜新聞Ｗｅｂ,岐阜新聞デジタル,https://news.yahoo.co.jp/media/gifuweb
renamed,raditopi,c,c,ラジトピ　ラジオ関西トピックス,ラジトピ ラジオ関西トピックス,https://news.yahoo.co.jp/media/raditopi
renamed,medicald,c,c,Medical DOC,メディカルドック,https://news.yahoo.co.jp/media/medicald
renamed,at_s,d,d,あなたの静岡新聞,静岡新聞DIGITAL,https://news.yahoo.co.jp/media/at_s
renamed,kbcv,d,d,九州朝日放送,KBC九州朝日放送,https://news.yahoo.co.jp/media/kbcv
renamed,kachimai,d,d,十勝毎日新聞　電子版,十勝毎日新聞 電子版,https://news.yahoo.co.jp/media/kachimai
renamed,kaiyou,d,d,KAI-YOU.net,KAI-YOU,https://news.yahoo.co.jp/media/kaiyou
renamed,kiba,d,d,netkeiba.com,netkeiba,https://news.yahoo.co.jp/media/kiba
renamed,yjsdgs,e,e,Yahoo! JAPAN SDGs,サストモ,https://news.yahoo.co.jp/media/yjsdgs
renamed,ycreatp,e,e,Yahoo! JAPAN クリエイターズプログラム,Yahoo!ニュース エキスパート,https://news.yahoo.co.jp/media/ycreatp
renamed,fukushi,e,e,福祉新聞,福祉新聞WEB,https://news.yahoo.co.jp/media/fukushi
renamed,hnrm,e,e,8760 by postseven,女性セブンプラス,https://news.yahoo.co.jp/media/hnrm
renamed,kab,e,e,KAB熊本朝日放送,熊本ニュース KAB ONLINE,https://news.yahoo.co.jp/media/kab
renamed,osknichi,f,f,大阪日日新聞,週刊大阪日日新聞,https://news.yahoo.co.jp/media/osknichi
renamed,gonline,f,f,幻冬舎ゴールドオンライン,THE GOLD ONLINE（ゴールドオンライン）,https://news.yahoo.co.jp/media/gonline
renamed,tvtokyos,f,f,テレビ東京スポーツ,テレ東スポーツ,https://news.yahoo.co.jp/media/tvtokyos
renamed,htv,f,f,広島テレビ　ニュース,広島テレビ ニュース,https://news.yahoo.co.jp/media/htv
renamed,fujitv,f,f,フジテレビュー！！,めざましmedia,https://news.yahoo.co.jp/media/fujitv
renamed,nbn,f,f,メ?テレ（名古屋テレビ）,メ〜テレ（名古屋テレビ）,https://news.yahoo.co.jp/media/nbn
renamed,yaeyamanp,f,f,八重山日報,沖縄八重山日報,https://news.yahoo.co.jp/media/yaeyamanp
