media_en,media_jp,title_articles,date_original
fineplayv,FINEPLAY,パリ五輪で活躍したShigekixと中山楓奈も来場！山口・宇部でアーバンスポーツを楽しもう「UBE URBAN SPORTS FES 2024」,9/3(火) 22:28
fineplayv,FINEPLAY,ジュニア世代が活躍する世界最大級のブレイキン大会！「東急不動産ホールディングス BREAKIN SUMMIT 2024」,9/2(月) 17:15
fineplayv,FINEPLAY,“なわとび”が最高峰の進化を遂げた！「アジアジャンプロープ選手権大会 2024」Report,9/1(日) 17:01
fineplayv,FINEPLAY,5日間にわたる激戦となったS.LEAGUE開幕戦『第28回茨城サーフィンクラシック さわかみ杯』を制したのは,8/30(金) 20:29
fineplayv,FINEPLAY,パリ五輪で活躍した松田詩野と稲葉玲王も出場！WSL QSの日本ラウンド開幕戦「whitebuffalo OMAEZAKI PRO 2024」の見どころと楽しみ方,8/28(水) 16:44
fineplayv,FINEPLAY,日本のAMIが初代王者となり歴史に名を刻む！「パリ2024オリンピック」ブレイキン・女子,8/22(木) 22:41
fineplayv,FINEPLAY,スポーツの世界へブレイキンをレペゼン！カナダのPHIL WIZARDが金メダルを獲得「パリ2024オリンピック」ブレイキン・男子,8/22(木) 22:14
fineplayv,FINEPLAY,パリ五輪で大活躍したあの選手たちが大集合？！パリの熱狂そのままに開催される日本最大のアクションスポーツの祭典「X Games Chiba 2024」出場選手発表会,8/22(木) 19:35
fineplayv,FINEPLAY,海外スケーターに人気で日本国内でも話題！パリ五輪銀メダリストのジャガー・イートンが着用する「CARIUMA」のスニーカー,8/20(火) 16:46
fineplayv,FINEPLAY,熱戦を制したのは日本代表 “HEARTS”!!「DOUBLE DUTCH CONTEST WORLD 2024」Report,8/19(月) 13:02
fineplayv,FINEPLAY,安楽宙斗が銀メダル！森秋彩は4位。パリ2024オリンピック競技大会 スポーツクライミング ボルダー＆リード複合種目,8/13(火) 21:40
fineplayv,FINEPLAY,世界新記録が続々誕生！? パリ2024オリンピック競技大会 スポーツクライミング スピード種目,8/10(土) 20:25
fineplayv,FINEPLAY,キーガン・パルマーが2連覇を達成し、新たな歴史を刻む立役者となった「パリ2024オリンピック」スケートボード・男子パーク種目,8/10(土) 17:03
fineplayv,FINEPLAY,新女王アリサ・トルーが見せたネクストレベル。日本人選手からは開心那が2大会連続の銀メダル獲得「パリ2024オリンピック」スケートボード・女子パーク種目,8/8(木) 12:30
fineplayv,FINEPLAY,パリ2024オリンピック　タヒチの波を制したのは地元カウリ・ヴァーストとキャロラインマークス,8/7(水) 18:28
fineplayv,FINEPLAY,パリの地で歴史の1ページが刻まれた。日本の畠山紗英は全体16位「パリ2024オリンピック」BMXレーシング種目,8/7(水) 16:46
fineplayv,FINEPLAY,二日間にわたる激戦！「DOUBLE DUTCH ONE’S FINAL 2024」Report,8/6(火) 17:46
fineplayv,FINEPLAY,優勝候補たちの牙城を日本の永原悠路は崩すことができるのか「パリ2024オリンピック」スケートボード・男子パーク種目の見どころ,8/6(火) 13:35
fineplayv,FINEPLAY,いよいよ今週末に迫る！パリ五輪ブレイキンをパブリックビューイングで日本から応援しよう！,8/5(月) 18:36
fineplayv,FINEPLAY,四十住さくらの2連覇なるか。金メダル候補が粒揃いの「パリ2024オリンピック」スケートボード・女子パーク種目の見どころ,8/5(月) 18:24
fineplayv,FINEPLAY,史上最高レベルの一戦。異次元の新技2連発もメダルには届かず中村輪夢が5位入賞「パリ2024オリンピック」BMXフリースタイル・パーク種目,8/2(金) 13:36
fineplayv,FINEPLAY,大逆転でオリンピック2連覇を果たした堀米雄斗！スケートボードの魅力が詰まった史上最高の大会「パリ2024オリンピック」スケートボード・男子ストリート種目,7/31(水) 13:40
fineplayv,FINEPLAY,2代目オリンピック女王は14歳の吉沢恋、銀メダルには赤間凛音とやはり強かった日本勢！「パリ2024オリンピック」スケートボード・女子ストリート種目,7/31(水) 13:28
fineplayv,FINEPLAY,日本代表メダル獲得なるか！？パリ2024オリンピック競技大会 スポーツクライミングの見どころは？,7/30(火) 18:24
fineplayv,FINEPLAY,ブレイキン初代オリンピック王者を目指す戦い！本番直前 Shigekix、Ami、KatsuOne 特別インタビュー,7/28(日) 19:56
fineplayv,FINEPLAY,パリ2024オリンピックでの注目は選手たちの攻防戦と駆け引き！パリの地で金メダリストになるのは誰だ！？BMXレーシングの見どころ,7/27(土) 21:55
fineplayv,FINEPLAY,ブレイキンの評価基準とは!?パリ五輪日本人出場選手紹介&放送スケジュールまとめ,7/26(金) 20:42
fineplayv,FINEPLAY,タヒチ島チョープーで開催！パリ2024オリンピック サーフィン 日本代表4選手と注目の見どころを解説！,7/25(木) 18:21
fineplayv,FINEPLAY,パリの舞台で繰り広げられるのは、メダル獲得を左右する超高難度の新技の応酬か!?「パリ2024オリンピック」BMXフリースタイル・パーク種目の見どころ,7/24(水) 21:44
fineplayv,FINEPLAY,パリ2024オリンピック開幕直前！世界トップの二本柱に対抗するのは日本人選手たちか？注目の見どころを徹底解剖！スケートボード・女子ストリート種目,7/24(水) 0:27
fineplayv,FINEPLAY,パリ2024オリンピック開幕直前！堀米雄斗の2連覇か、次世代の台頭なるか？注目の見どころを徹底解剖！スケートボード ・男子ストリート種目,7/24(水) 0:03
fineplayv,FINEPLAY,パリ2024オリンピック競技大会がいよいよ開幕！日本人出場選手や各アーバン/アクションスポーツ競技スケジュールをまとめて紹介！,7/23(火) 22:53
fineplayv,FINEPLAY,月末は家族で観戦&体験も！世界最高峰のダブルダッチ個人戦「ONE’S FINAL」を観に行こう!!,7/20(土) 17:10
fineplayv,FINEPLAY,青春を賭けた熱い夏が今年も開幕！ 「ITADAKI ダブルダッチ甲子園 2024」,7/19(金) 17:49
fineplayv,FINEPLAY,親子で様々なスポーツを楽しんだ七夕の一日「PLAY MOVESPORT」がイオンモール幕張新都心で開催,7/12(金) 18:06
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・バート女子はオーストラリアのアリサ・テルーが2連覇。パークとの2種目連覇の快挙を達成,7/11(木) 17:16
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・ストリート男子はナイジャ・ヒューストンが優勝！通算15個目でX Games史上最多ゴールドメダル獲得記録を達成,7/11(木) 17:06
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・パーク女子はアリサ・テルーが優勝し、同大会2年連続のX Gamesゴールドメダルを獲得,7/11(木) 17:00
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・バート男子ベストトリックはブラジルのギー・クーリが優勝！日本の猪又が2位でX Games初メダル獲得,7/11(木) 16:51
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・バート女子ベストトリックはミア・クレッツァーが史上最年少出場及び金メダリスト記録を更新,7/11(木) 16:47
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・ストリート女子ベストトリックは織田夢海が優勝！2位に伊藤、3位に赤間と再度表彰台を日本人が独占！,7/11(木) 0:05
fineplayv,FINEPLAY,【X Games Ventura 2024】 スケートボード・ストリート男子ベストトリックはアメリカのナイジャ・ヒューストンが優勝！,7/10(水) 23:58
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・パーク男子はキーガン・パルマーが優勝し、自身2個目のX Gamesゴールドメダルを獲得！,7/10(水) 23:51
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・ストリート女子は日本の伊藤 美優が初出場初優勝！2位に赤間 、3位に織田と日本人が表彰台を独占。,7/10(水) 23:44
fineplayv,FINEPLAY,【X Games Ventura 2024】スケートボード・バート男子はトム・シャーが優勝！日本人最高位は芝田元の2位！,7/10(水) 23:39
fineplayv,FINEPLAY,NORIとMiMzが優勝「Red Bull BC One Cypher Japan 2024」勝者はブラジルで行われる世界最終予選へ,7/7(日) 23:49
fineplayv,FINEPLAY,今年の日本一決定戦「Red Bull BC One Cypher Japan」が明日開催！,7/6(土) 22:38
fineplayv,FINEPLAY,2度目のワールドファイナル出場を目指す B-Girl MiMz「Red Bull BC One Cypher Japan」Special Interview,7/6(土) 10:11
fineplayv,FINEPLAY,約5万人がダンスと音楽に酔いしれた熱い3日間。老若男女誰もが楽しめる地元弘前に愛されたフェス「SHIROFES.2024」,7/4(木) 22:33
fineplayv,FINEPLAY,SHIROFES.2024｜全バトル優勝者コメントあり！ストリートダンスバトル史上に、また一つ新たな歴史が刻まれる,7/2(火) 21:23
fineplayv,FINEPLAY,ついに今週末に迫る！B-Girl Amiや鎮座DOPENESSらが登場！ 世界レベルの1on1ブレイキンバトル日本王者を決める「Red Bull BC One Cypher Japan 2024」開催,7/2(火) 21:02
fineplayv,FINEPLAY,七夕の日にお買い物がてらスポーツを体験しよう！「PLAY MOVESPORT」がイオンモール幕張新都心で開催,6/28(金) 16:54
fineplayv,FINEPLAY,世界海洋デーに開催 「Save The Seed Vol.2」レポート,6/28(金) 13:24
fineplayv,FINEPLAY,日本勢が2大会連続で表彰台を独占「オリンピック予選シリーズ ブダペスト大会」日本のAmiとオランダのLeeが優勝,6/27(木) 23:16
fineplayv,FINEPLAY,日本人選手のパリオリンピックへの切符の行方は。日本人最高位は中村輪夢の8位「オリンピック予選シリーズ ブダペスト大会」BMXフリースタイル・パーク種目,6/27(木) 21:26
fineplayv,FINEPLAY,国内唯一無二のダンスイベント「SHIROFES.」オーガナイザーNOBUO×世界的ダンサーGUCCHONのスペシャルインタビュー,6/27(木) 16:47
fineplayv,FINEPLAY,パリオリンピック男子サーフィン日本代表・稲葉玲王がサステナブルスニーカーブランドCARIUMAとアスリート契約を締結,6/27(木) 13:26
fineplayv,FINEPLAY,最終トライまで大混戦と逆転に次ぐ逆転劇でパリオリンピック日本代表が決定「オリンピック予選シリーズ(OQS)」ブダペスト大会 女子スケートボードストリート種目,6/26(水) 22:22
fineplayv,FINEPLAY,最後の最後までもつれ込んだパリオリンピック代表権争い「オリンピック予選シリーズ(OQS)」ブダペスト大会 男子スケートボードパーク種目,6/26(水) 22:02
fineplayv,FINEPLAY,野中生萌が準優勝でパリオリンピック内定！「オリンピック予選シリーズ ブダペスト大会」スポーツクライミング,6/25(火) 16:52
fineplayv,FINEPLAY,最後の最後まで混戦だった日本代表争いは「1つのトリック」が明暗を分けた。「オリンピック予選シリーズ(OQS)」ブダペスト大会 男子スケートボードストリート種目,6/25(火) 14:56
fineplayv,FINEPLAY,日本人選手たちの壮絶な代表権争いの行方は。「オリンピック予選シリーズ(OQS)」ブダペスト大会 女子スケートボードパーク種目,6/25(火) 14:27
fineplayv,FINEPLAY,吉沢恋が世界大会初優勝。男子に続き表彰台を独占した日本人選手たち。日本代表内定選手も決定！「オリンピック予選シリーズ ブダペスト大会」スケートボード・ストリート種目 女子決勝速報,6/24(月) 1:37
fineplayv,FINEPLAY,オーストラリアのキーガン・パルマーが優勝。日本の永原悠路もパリオリンピック代表選手に内定！「オリンピック予選シリーズ ブダペスト大会」スケートボード・パーク種目 男子決勝速報,6/23(日) 23:14
fineplayv,FINEPLAY,堀米雄斗が見せた大逆転劇。優勝は堀米、2位に小野寺、3位は白井と日本勢が表彰台独占し、代表枠も確保「オリンピック予選シリーズ ブダペスト大会」スケートボード・ストリート種目 男子決勝速報,6/23(日) 20:28
